OEIS %N name templates (>= 25 sequences sharing one abstracted name pattern)
===============================================================================

Method:
  All %N (name) fields of the 398,534 .seq files were extracted and
  normalized: lowercased; integer literals and spelled-out number words
  replaced by {pK} slots; references to other sequences (Annnnnn)
  replaced by {AK} slots.
  Names that then coincide belong to one template: its members differ only
  by the constant parameters (or small arithmetic expressions built on
  them) in those slots.

Stats:
  sequences total ............ 398,534
  distinct raw templates ..... 245,149
  templates with >= 25 ....... 704
  sequences covered by them .. 66,238 (16.6%)

Placeholders: {pK} = K-th integer constant, {AK} = K-th sequence reference.
Templates longer than 160 chars are truncated with '...'.

|  # | count | template | example members |
| 582 |    29 | incorrect version of {A1} | A013549, A066029, A086196, A105807, A134330 |
| 583 |    29 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with each row and column divisible by {p6}, read as a binary number with top and left being the most significan... | A262237, A262271, A262316, A262334, A262453 |
| 584 |    29 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock having the absolute values of all {p8} edge and diagonal differences no larger th... | A234030, A234119, A234128, A234158, A234180 |
| 585 |    29 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock having the sum of the squares of the edge differences equal to {p8}, and no {p9}... | A233685, A233886, A233891, A233915, A233955 |
| 586 |    29 | number of cycles in range [{A1}(n-{p1})..{A2}(n-{p2})] of permutation {A3}/{A4} | A057507, A089411, A089426, A089872, A126291 |
| 587 |    29 | number of n x {p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5}, {p6}, {p7} or {p8} king-move adjacent elements, with upper left element zero | A304305, A304546, A304695, A304951, A305178 |
| 588 |    29 | number of nx{p1} {p2}..{p3} arrays with every row and column running average nondecreasing rightwards and downwards | A200529, A200708, A200828, A200854, A200969 |
| 589 |    29 | numbers having period-{p1} {p2}-digitized sequences | A031179, A031185, A031191, A031197, A031203 |
| 590 |    29 | numbers k such that k*(k+{p1}) gives the concatenation of {p2} numbers m and m+{p3} | A116294, A116304, A116314, A116326, A116343 |
| 591 |    29 | sequence defined by the recurrence formula a(n+{p1})=sum(a(p)*a(n-p)+k,p={p2}..n)+l for n>={p3}, with here a({p4})={p5}, a({p6})={p7}, k={p8} and l=-{p9} | A176675, A176753, A176759, A177163, A177169 |
| 592 |    29 | {A1} indexed by {A2} | A087437, A088416, A089529, A090161, A091181 |
| 593 |    28 | (terms in {A1})/{p1} | A051134, A051425, A051433, A051457, A051471 |
| 594 |    28 | ({A1})/{p1} | A189783, A192070, A192524, A194403, A209983 |
| 595 |    28 | a(n) is the least k such that {A1}(k) = n | A030780, A298474, A332306, A341194, A349282 |
| 596 |    28 | a(n)=(# {p1}'s)-(# {p2}'s) in first n terms of {A1} | A030340, A030398, A030581, A030617, A031249 |
| 597 |    28 | decimal expansion of pi^{p1}/{p2} | A072691, A111003, A182448, A197110, A257134 |
| 598 |    28 | mckay-thompson series of class {p1}a for the monster group with a({p2}) = {p3} | A007240, A034319, A131123, A134785, A153765 |
| 599 |    28 | number of (n+{p1}) x {p2} {p3}..{p4} arrays with every {p5} x {p6} or {p7} x {p8} subblock having exactly {p9} counterclockwise and {p10} clockwise edge increas... | A206087, A206092, A206114, A206131, A206136 |
| 600 |    28 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock summing to a prime | A251404, A251453, A251469, A251509, A251562 |
| 601 |    28 | number of elements of gf({p1}^n) with trace {p2} and subtrace {p3} | A038518, A074001, A074006, A074011, A074016 |
| 602 |    28 | number of integer solutions to a^{p1} + {p2}*b^{p3} + {p4}*c^{p5} + {p6}*d^{p7} = n | A236924, A320149, A320163, A320189, A320195 |
| 603 |    28 | number of nxn {p1}..{p2} arrays with every element unequal to {p3}, {p4}, {p5}, {p6}, {p7}, {p8} or {p9} king-move adjacent elements, with upper left element ze... | A316802, A316919, A317037, A317147, A317232 |
| 604 |    28 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7}, {p8} or {p9} horizontally, diagonally or antidiagonally adjacent elements... | A303417, A303452, A303465, A303509, A303521 |
| 605 |    28 | number of oriented polyominoes in the {{p1},{p2}} tessellation of the hyperbolic plane | A395867, A395872, A395877, A395882, A395887 |
| 606 |    28 | number of permutations of {p1} indistinguishable copies of {p2}..n arranged in a circle with exactly {p3} adjacent element pairs in decreasing order | A151583, A151588, A151593, A151598, A151603 |
| 607 |    28 | number of prime pairs below {p1}^n having a difference of {p2} | A093737, A093743, A093748, A093972, A093977 |
| 608 |    28 | number of {p1}*n x {p2}*n {p3}..{p4} arrays with row sums {p5} and column sums {p6} | A172573, A172595, A172674, A172700, A172779 |
| 609 |    28 | number of {p1}..{p2} colorings of a {p3}x(n+{p4}) array circular in the n+{p5} direction with new values {p6}..{p7} introduced in row major order | A214102, A214114, A214146, A214173, A214193 |
| 610 |    28 | number of {p1}xn {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7}, {p8} or {p9} horizontally, diagonally or antidiagonally adjacent elements... | A303422, A303458, A303472, A303516, A303528 |
| 611 |    28 | numbers k such that ({p1}^k + {p2})/{p3} is prime | A007658, A185240, A236167, A284285, A309411 |
| 612 |    28 | numbers k such that k prefixed by '{p1}' and followed by '{p2}' is prime | A032702, A032707, A032712, A032717, A032724 |
| 613 |    28 | numbers of the form {p1}^j + {p2}^k, for j and k >= {p3} | A004050, A226810, A226815, A226820, A226825 |
| 614 |    28 | positions of zeros in {A1} | A065348, A165480, A165602, A219657, A346256 |
| 615 |    28 | primes congruent to {p1} or {p2} mod {p3} | A122870, A140536, A140587, A140655, A140742 |
| 616 |    28 | ramanujan numbers ({A1}) read mod {p1} | A126812, A126817, A126822, A126827, A126832 |
| 617 |    28 | row sums of number triangle {A1} | A105595, A110181, A114006, A120109, A124818 |
| 618 |    28 | sum of {A1} and its dirichlet inverse | A323882, A345065, A346478, A349342, A353419 |
| 619 |    28 | t(n,k)=number of (n+{p1})x(k+{p2}) {p3}..{p4} arrays with each {p5}x{p6} subblock having clockwise perimeter pattern {p7} {p8} or {p9} | A259894, A260070, A260248, A260501, A260927 |
| 620 |    28 | theta series of d_{p1} lattice | A005930, A008432, A022046, A022051, A022056 |
| 621 |    27 | a(n) = gcd(n, {A1}(n)) | A060654, A179930, A324873, A345941, A356158 |
| 622 |    27 | a(n) = position of n in {A1} | A026137, A026237, A050009, A050113, A169844 |
| 623 |    27 | a(n) = sum_{k={p1}..{p2}n-{p3}} t(n,k) * t(n,k+{p4}), with t given by {A1} | A027047, A027081, A027142, A027263, A027270 |
| 624 |    27 | a(n) = {A1}(n)/{A2}(n) | A045948, A129365, A203517, A238691, A307107 |
| 625 |    27 | a(n) = {p1}*a(n-{p2}) + {p3}*a(n-{p4}), with a({p5})={p6}, a({p7})={p8} | A007483, A072264, A122117, A190331, A190953 |
| 626 |    27 | a(n+{p1}) = a(n) converted to base {p2} from base {p3} (written in base {p4}) | A023362, A023368, A023374, A023380, A023385 |
| 627 |    27 | coefficients in asymptotic expansion of sequence {A1} | A116603, A256168, A260879, A260957, A293264 |
| 628 |    27 | decimal expansion of ({p1}/{p2}) * exp({p3}*pi/{p4}) * {p5}^({p6}/{p7}) | A388247, A388255, A388310, A388316, A388491 |
| 629 |    27 | euclid-mullin sequence ({A1}) with initial value a({p1})={p2} instead of a({p3})={p4} | A051308, A051313, A051318, A051323, A051328 |
| 630 |    27 | expansion of product_{m>={p1}} ({p2}+q^m)^(-{p3}) | A022598, A022604, A022610, A022615, A022621 |
| 631 |    27 | expansion of {p1}/(({p2}-{p3}*x)*({p4}-{p5}*x)) | A016129, A016138, A016162, A016170, A016184 |
| 632 |    27 | integers in (-{p1}+{A1})/{p2}; contains {A2} as a proper subsequence | A190848, A190859, A191183, A191196, A191201 |
| 633 |    27 | inverse permutation to sequence {A1} | A101283, A114862, A118316, A119628, A122281 |
| 634 |    27 | mckay-thompson series of class {p1}b for monster | A007255, A058509, A058568, A058641, A058686 |
| 635 |    27 | mckay-thompson series of class {p1}b for the monster group | A007244, A052240, A058601, A112146, A112173 |
| 636 |    27 | n times n+{p1} gives the concatenation of {p2} numbers m and m+{p3} | A116298, A116306, A116319, A116328, A116338 |
| 637 |    27 | number of ({p1}+{p2})x(n+{p3}) {p4}..{p5} arrays with each row divisible by {p6} and column not divisible by {p7}, read as a binary number with top and left bei... | A262423, A262797, A262802, A262851, A263126 |
| 638 |    27 | number of n x n binary arrays symmetric about both diagonal and antidiagonal with all ones connected only in a {p1}-{p2}-{p3}-{p4} pattern in any orientation | A146827, A147047, A147127, A147197, A147322 |
| 639 |    27 | number of n x n binary arrays symmetric about main diagonal with all ones connected only in a {p1}-{p2}-{p3}-{p4} pattern in any orientation | A146826, A147046, A147126, A147196, A147321 |
| 640 |    27 | number of n x n binary arrays symmetric under horizontal reflection with all ones connected only in a {p1}-{p2}-{p3}-{p4} pattern in any orientation | A146824, A147044, A147124, A147194, A147319 |
| 641 |    27 | number of n x n binary arrays with all ones connected only in a {p1}-{p2}-{p3}-{p4} pattern in any orientation | A146823, A147043, A147123, A147193, A147318 |
| 642 |    27 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7}, {p8} or {p9} horizontally, vertically or antidiagonally adjacent elements... | A301402, A301439, A301446, A301487, A301495 |
| 643 |    27 | number of permutations of {p1}..n with i-{p2}<=p(i)<=i+{p3} | A179340, A179346, A179351, A179356, A179361 |
| 644 |    27 | number of positive integers <= {p1}^n of form {p2} x^{p3} + {p4} y^{p5} | A000286, A054163, A054169, A054177, A054186 |
| 645 |    27 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, {p7}, {p8}), ({p9}, -{p10}... | A150108, A150204, A150420, A150519, A150583 |
| 646 |    27 | numbers k such that {p1}*{p2}^k + {p3}*r_k + {p4} is prime, where r_k = {p5}...{p6} is the repunit ({A1}) of length k | A097402, A102970, A103000, A103053, A103065 |
| 647 |    27 | numbers that are the sum of {p1} distinct nonzero squares in exactly {p2} ways | A025303, A025308, A025341, A025346, A025379 |
| 648 |    27 | numbers with exactly {p1} distinct base-{p2} digits | A031948, A031953, A031958, A031964, A031969 |
| 649 |    27 | positive numbers k such that k and {p1}*k are anagrams in base {p2} (written in base {p3}) | A023059, A023064, A023069, A023074, A023079 |
| 650 |    27 | totally multiplicative sequence with a(p) = {p1}*(p+{p2}) for prime p | A166642, A166647, A167304, A167309, A167323 |
| 651 |    27 | totally multiplicative sequence with a(p) = {p1}*(p-{p2}) for prime p | A166632, A166637, A167295, A167300, A167314 |
| 652 |    27 | {A1}/{p1} | A036828, A073222, A098014, A151734, A190572 |
| 653 |    27 | {{p1}->{p2}}-transform of the thue-morse word {A1} | A284622, A285957, A285972, A286049, A286339 |
| 654 |    26 | a(n) = prime({p1}*n - {p2}) | A031372, A031380, A031390, A031905, A031910 |
| 655 |    26 | a(n) = {A1}({A2}({A3}(n))) | A080067, A250470, A277806, A332819, A351449 |
| 656 |    26 | a(n) = {p1}*(n+{p2})*binomial(n+{p3},{p4}) | A027777, A027787, A027795, A027805, A027813 |
| 657 |    26 | antidiagonal sums of the convolution array {A1} | A213547, A213575, A213749, A213767, A213824 |
| 658 |    26 | base {p1} digits are, in order, the first n terms of the periodic sequence with initial period {p2},{p3} | A033117, A037484, A037490, A037577, A037583 |
| 659 |    26 | decimal expansion of least x>{p1} satisfying {p2}*x^{p3}-{p4}*x+{p5}=tan(x) | A200497, A200502, A200591, A200596, A200605 |
| 660 |    26 | decimal expansion of x>{p1} satisfying {p2}*x^{p3}-{p4}*cos(x)={p5} | A198876, A198885, A198931, A198940, A198996 |
| 661 |    26 | diagonal of {A1} | A056197, A082829, A083485, A083783, A091795 |
| 662 |    26 | lexicographically earliest infinite sequence such that a(i) = a(j) => {A1}(i) = {A2}(j) and {A3}(i) = {A4}(j) for all i, j >= {p1} | A334867, A351085, A351461, A355834, A364951 |
| 663 |    26 | number of (n+{p1}) x {p2} binary arrays avoiding patterns {p3} and {p4} in rows and columns | A202048, A202094, A202195, A202200, A202403 |
| 664 |    26 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with each row and column not divisible by {p6}, read as a binary number with top and left being the most signif... | A263033, A263038, A263059, A263153, A263197 |
| 665 |    26 | number of (n+{p1})x{p2} {p3}..{p4} arrays with every {p5}x{p6} or {p7}x{p8} subblock having no more than {p9} equal edges, and new values {p10}..{p11} introduce... | A206362, A206517, A206597, A206619, A206755 |
| 666 |    26 | number of nx{p1} {p2}..{p3} arrays with each {p4} horizontally or vertically adjacent to {p5}, {p6} or {p7} {p8}s | A295248, A295273, A295351, A295412, A295528 |
| 667 |    26 | number of partitions of n into parts {p1}k and {p2}k+{p3} with at least {p4} part of each type | A035618, A035627, A035638, A035652, A035672 |
| 668 |    26 | number of permutations avoiding the consecutive pattern {p1} | A113229, A202216, A202221, A202226, A202231 |
| 669 |    26 | number of planar n x n x n binary triangular grids symmetric both under {p1} degree rotation and reflection with no more than {p2} ones in any {p3} x {p4} x {p5... | A153910, A153925, A153940, A153955, A153970 |
| 670 |    26 | number of planar n x n x n binary triangular grids symmetric under {p1} degree rotation with no more than {p2} ones in any {p3} x {p4} x {p5} subtriangle | A153908, A153923, A153938, A153953, A153968 |
| 671 |    26 | number of planar n x n x n binary triangular grids with mirror symmetry about {p1} altitude with no more than {p2} ones in any {p3} x {p4} x {p5} subtriangle | A153909, A153924, A153939, A153954, A153969 |
| 672 |    26 | number of planar n x n x n binary triangular grids with no more than {p1} ones in any similarly oriented {p2} x {p3} x {p4} subtriangle | A153549, A153556, A153561, A153566, A153571 |
| 673 |    26 | number of planar n x n x n binary triangular grids with no more than {p1} ones in any {p2} x {p3} x {p4} subtriangle | A153522, A153527, A153532, A153538, A153543 |
| 674 |    26 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148032, A148037, A149117, A149185, A149217 |
| 675 |    26 | numbers k such that {A1}(k) = {A2}(k+{p1}) | A065062, A333261, A343133, A358817, A369211 |
| 676 |    26 | numbers k such that {A1}(k) is divisible by k | A032563, A099851, A304045, A304211, A325935 |
| 677 |    26 | numbers k such that {A1}(k+{p1}) = {A2}(k) + {p2} | A247910, A248188, A248420, A248566, A248630 |
| 678 |    26 | numbers that are the sum of {p1} distinct nonzero squares in {p2} or more ways | A024804, A025317, A025350, A025355, A025389 |
| 679 |    26 | numbers that are the sum of {p1} nonzero squares in {p2} or more ways | A007692, A025298, A025332, A025337, A025370 |
| 680 |    26 | ooguri-vafa invariants of disk degeneracies for brane iii in the o(k) -> p^{p1} x p^{p2} geometry | A092699, A092706, A092711, A092716, A092721 |
| 681 |    26 | row sums of triangle in {A1} | A059276, A077570, A121892, A154785, A238375 |
| 682 |    26 | sum of divisors of {p1}*n-{p2} of form {p3}*k+{p4} | A362952, A363034, A363317, A363889, A364094 |
| 683 |    26 | {p1}-limiting word of the morphism {p2}->{p3}, {p4}->{p5}, {p6}->{p7} | A106601, A107335, A287108, A287174, A287337 |
| 684 |    25 | a(n) = t(n,n-{p1}), array t as in {A1} | A038740, A049789, A050148, A055803, A055810 |
| 685 |    25 | a(n) = {p1}^n - {p2}^n + {p3} | A020515, A155611, A155622, A155650, A155660 |
| 686 |    25 | a({p1})={p2}; a(n)=floor(({p3}+sum(a({p4}) to a(n-{p5})))/{p6}) | A120174, A120180, A120185, A120193, A120201 |
| 687 |    25 | coefficients in expansion of dirichlet series product_p ({p1}-(kronecker(m,p)+{p2})*p^(-s)+kronecker(m,p)*p^(-{p3}s))^(-{p4}) for m = -{p5} | A035143, A035149, A035156, A035164, A035173 |
| 688 |    25 | decimal expansion of ({p1} + {p2}*sqrt({p3}))/{p4} | A156571, A159691, A161480, A178593, A378812 |
| 689 |    25 | decimal expansion of {p1}/pi | A049541, A132698, A132704, A132712, A132717 |
| 690 |    25 | integers in ({p1}+{A1})/{p2}; contains {A2} as a proper subsequence | A190845, A191151, A191166, A191174, A191191 |
| 691 |    25 | lexicographically least sequence of nonnegative integers that avoids {p1}/{p2}-powers | A269518, A277146, A277151, A277156, A277161 |
| 692 |    25 | number of (n+{p1})x(n+{p2}) {p3}..{p4} arrays with each {p5}x{p6} subblock having clockwise perimeter pattern {p7} {p8} or {p9} | A259886, A260098, A260276, A260536, A260972 |
| 693 |    25 | number of (n+{p1})x{p2} {p3}..{p4} arrays with every {p5}x{p6} or {p7}x{p8} subblock having exactly {p9} clockwise edge increases | A205982, A206058, A206068, A206202, A206323 |
| 694 |    25 | number of (n+{p1})x{p2} {p3}..{p4} arrays with every {p5}x{p6} subblock having equal diagonal elements or equal antidiagonal elements, and new values {p7}..{p8}... | A203917, A203922, A204054, A204075, A204152 |
| 695 |    25 | number of ({p1}+{p2})x(n+{p3}) arrays of permutations of {p4}..n*{p5}+{p6} with each element having index change +-(.,.) {p7},{p8} {p9},{p10} or {p11},{p12} | A264020, A264114, A264135, A264208, A264342 |
| 696 |    25 | number of -{p1}..{p2} arrays x(i) of n+{p3} elements i={p4}..n+{p5} with set{t,u,v in {p6},{p7}}((x[i+t]+x[j+u]+x[k+v])*(-{p8})^(t+u+v)) having {p9}, {p10}, {p1... | A211530, A211583, A211592, A211735, A211752 |
| 697 |    25 | number of nx{p1} {p2}..{p3} arrays with every {p4} horizontally, diagonally or antidiagonally adjacent to {p5} or {p6} neighboring {p7}s | A297453, A297504, A297518, A297543, A297593 |
| 698 |    25 | number of partitions of n into numbers not divisible by {p1} where every part appears at least {p2} times | A161281, A161286, A161291, A161296, A161301 |
| 699 |    25 | number of {p1}xn arrays of permutations of {p2}..n*{p3}-{p4} with rows nondecreasing modulo {p5} and columns nondecreasing modulo {p6} | A264561, A264660, A264700, A264715, A264819 |
| 700 |    25 | numbers k such that k^{p1} == {p2} (mod {p3}^{p4}) | A056021, A056027, A056082, A056087, A056094 |
| 701 |    25 | primes of the form {p1}*r_k + {p2}, where r_k is the repunit ({A1}) of length k | A091189, A093139, A093166, A093171, A093401 |
| 702 |    25 | restricted growth sequence transform of {A1}({A2}(n)) | A290082, A304097, A304729, A304737, A304745 |
| 703 |    25 | semiprimes in {A1} | A101619, A103396, A113519, A113530, A122499 |
| 704 |    25 | the coding-theoretic function a(n,{p1},{p2}) | A001839, A004038, A004056, A005854, A005859 |
